name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Grapefruit,NL Grapefrui; FR Pamplemousse; DE Grapefruit; IT Pompelmo; CZ Grapefruit; PL Grapefriut,Citrus paradisi,Rutaceae,Argentina,Peel,Cold pressing,Limonene,Top,4,Citrus,Fruity; Gently fresh; Citrus; Bitter,Solar Plexus,Yellow,Air,Grapefruit (Citrus x Paradisi) is a tree belonging to the Rutaceae family originating in tropical Asia and the East Indies Cultivated for the most part in California reaches a height of 10 m with shiny leaves and large yellow fruits,Harmonizing; Purifying,NA,NA,NA,Bergamot; Cardamom; Cedar; Cypress; Geranium; Lavender; Lavender Hybrids; Neroli; Ravintsara; Rosemary Verbenone; Spicy Olives,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Green mint,NL Groene munt; FR Menthe verte; DE Grüne Minze; IT Menta verde; CZ Máta klasnatá; PL Mięta Zielona ,Mentha viridis,Lamiaceae,India,Plant,Steamdestillation,Myrcene; Carvone; Limonene,Top,4,Top,Fresh; Strong,Solar Plexus; Heart,Green,Earth;Fire,Spearmint is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia Cultured for the most part in Asia and Europe reaches a maximum height of 1 m with erect stems light green leaves small white-pink or purple flowers and rizomatose roots that expand dramatically in the soil,Revitalise; Supports airways,NA,NA,NA,Tea tree; Benzoin; Citronella; Juniper; Lavender; Hybrid Lavender; Majoram; Pine; Rosemary; Spicy; Citrus Oils,NA,Use with moderation and avoid pure use on extended areas It is preferable to avoid using it during homeopathic treatment Can cause cool-shock!
Ho leaf,NL Ho blad; FR Ho Feuille; DE Hoblätter; IT Ho foglia; CZ Kafrovník Lékařský (listy) ; PL Ho liść,Cinnamomum camphora,Lauraceae,Taiwan,Leaf,Steamdestillation,Linalol,Heart,2,Flower,Floral, NA, NA,Water; Air,Cinnamomum camphora is an evergreen plant belonging to the Lauraceae family of Eastern Asia It grows mostly in China Japan and Taiwan often reaches a height of 40 m with rather thin base from which the camphor is extracted by steam stream and then refined through the sublimation process The leaves are lanceolate groovy thick and persistent with White flowers and black drupa fruit The Cinnamomum camphora has 2 chemotypes: linalol and cineol Ho wood and ho leaf are from the wood and leaves of the linalol chemotype Ravintsara is from the leaf and camphor from the bark of the cineol chemotype,Revitalise; Supports immunesystem,NA,NA,NA,Amyris; Benzoin; Bergamot; Carnation; Juniper; Lavender; Lavandin; Litsea; Vanilla; Ginger; Citrus oils,NA,It is preferable to avoid using it during pregnancy
Ho wood,NL Ho hout; FR Ho bois; DE Hoholz; IT Ho legno; CZ Kafrovník lékařský (dřevo); PL Ho drewno,Cinnamomum camph Sieb,Lauraceae,China,Wood,Steamdestillation,Linalol,Heart; Base,4,Woody,Floral; Woody, NA, NA,Water; Air,Cinnamomum camphora is an evergreen plant belonging to the Lauraceae family of Eastern Asia It grows mostly in China Japan and Taiwan often reaches a height of 40 m with rather thin base from which the camphor is extracted by steam stream and then refined through the sublimation process The leaves are lanceolate groovy thick and persistent with White flowers and black drupa fruit The Cinnamomum camphora has 2 chemotypes: linalol and cineol Ho wood and ho leaf are from the wood and leaves of the linalol chemotype Ravintsara is from the leaf and camphor from the bark of the cineol chemotype,Revitalise; Supports immunesystem,NA,NA,NA,Amyris; Benzoin; Bergamot; Carnation; Juniper; Lavender; Lavandin; Litsea; Vanilla; Ginger; Citrus oils,NA,It is preferable to avoid using it during pregnancy
Jasmin absolut,NL Jasmijn absolutum; FR Jasmin absolut; DE Jasmin absolut; IT Jasmin absolut; CZ Jasmín; PL Jaśmin,Jasminus offic  ,Oleaceae,India,Flower,Steamdestillation,Benzyl acetate; Benzyl benzoate; Phytol; Isophytol,Heart,6,Flower,Intense; Floral,Root; Sacral; Solar Plexus,Red; Pink,Water; Earth,Jasmine is a perennial plant belonging to the family of the original Oleaceae of China Growing spontaneously for the most part in Nepal Iran India and in all those mild climate even in winter it often reaches a height of about 4 m slim and slender drums climbing from which during the period of Bloom bloom many fragrant white flowers,Relaxing; Harmonizing,NA,NA,NA,Roman Camomile; Cypress; Sweet Fennel; Patchouli; Rose; Sage; Sandalwood; Ylang-Ylang; Citrus oils,NA,/
Jatamansi,NL Jatamansi; FR Jatamansi; DE Jatamansi; IT Nardo; CZ Nard pravý; PL Jatamansi ,Nardostachys jatamansi,Poaceae,Himalaya,Root,Steamdestillation,Calarene; Nardol; Aristolene,Base,4,Resinous,Warm; Earthy; Muscled; Balanced; Like Patchouli,"
Heart; Solar Plexus",Yellow; Green,Earth; Air,De Jatamansi or Narde is a peranial plant close to Valerian It can be found in the rocky mountains of the Himalaya untill 3500 meter It grows up to 30cm high has aromatic roots and stems and purple pink flowers,Relaxing; Purifying,NA,NA,NA,Pine; Orange; Lavender; Black pepper; Petitgrain; Kardamom,NA,It is preferable to avoid using it during pregnancy
Juniper Berry,NL Jeneverbes; FR Genévrier; DE Wacholder; IT Ginepro; CZ Jalovec obecný; PL Jałowiec pospolity (owoc),Juniperus communis,Cupressaceae,India,Branches and Fruit,Steamdestillation,α-pinene; Sabinene,Top,2,Herbal,Fresh; Sweet; Balsamic; Woody,Heart,Green,Fire; Earth,The Juniper is an evergreen shrub belonging to the Cupressaceae family of the Northern Hemisphere Mostly harvested in Italy France and Austria often reach a height of 6 m with narrow needle-leaf green-blueish leaves and blue-violet berries,Revitalise; Purifying,NA,NA,NA,Spruce; Fir; Cedar; Cypress; Cyste; Elemi; Lavender; Hybrid Lavender; Pine; Ravintsara; Sage; Citrus oils,NA,It is allergic and sensitizing Do not use during pregnancy
Katrafay,NL Katafray; FR Katafray; DE Katafray; IT Katafray; CZ Katafray; PL Katafray,Cedrelopsis grevei,Limonene,Madagascar,Wood,Steamdestillation,β-caryophyllene; α-copaene,Base,3,Woody: Conifer,Sharp; Green; Woody,NA,NA,NA,Katafray is an endemic shrub plant belonging to the Rutaceae family of South Africa It grows spontaneously for the most part in Madagascar and the coasts of South Africa It reaches 3 m high thin woody bases at the base light-colored light-aged leaves of elongated shape and 5-petal red-yellow conical flowers,Relaxing; Harmonizing,NA,NA,NA,Amyris; Basil; Bergamot; Carnation; Citronella; Juniper; Lavender; Lavandin; Vetiver; Ylang-Ylang; citrus oils,NA,It is preferable to avoid using it during pregnancy
Korean fir,NL Koreaanse spar; FR Sapin de Corée; DE Abies ; IT Pino coreano; CZ Jedle korejská; PL Jodła koreańska,Abies koreaensis,Pinaceae,South-Korea,Needles,Steamdestillation,NA,Heart,3,Woody:Conifer,Wooded; Spicy; Balsamic,Heart; Sacred,Orange; Green,Earth; Air,The korean fir is an evergreen tree belonging to the Pinaceae family of the Far East It grows spontaneously for the most part in Korea Japan and Siberia It reaches a height of 30 meters with woody bark and dark gray bark at the base long needle leaves about 10 inches collected in bunches of 5,Harmonizing; Supports airways; Purifying,NA,NA,,Tea tree; Cypress; Juniper; Lavender; Ravintsara; Rosemary; Ylang ylang,NA,It may be irritating when used directly on the skin
Laural,NL Laurier; FR Laurier; DE Lorbeerblatt; IT Alloro; CZ Vavřín vznešený; bobkový list; PL Wawrzyn szlachetny,Laurus nobilis L,Lauraceae,Turkey,Leaf,Steamdestillation,1;8 cineole,Heart,3,Herbal,Herbaceous; Fresh; Slightly balsamic,Heart,Yellow,Fire; Air,The Laurel an evergreen tree belonging to the Lauraceae family of the Mediterranean Cultivated mostly in Morocco France and Spain reaches a height of 20 m with woody bases at the base shades of dark green and black berries,Harmonizing; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Cypress; Juniper; Frankincense; Pine; Ravintsara; Citrus; Spicy oils,NA,Use with moderation due to possible narcotic effects It is allergic and sensitizing It is preferable to avoid using it during pregnancy
Lavander,NL Lavendel; FR Lavande; DE Lavender; IT Lavanda officinale; CZ Levandule lékařská; PL Lawenda,Lavandula officinalis,Lamiaceae,France,Plant,Steamdestillation,Linalol; Linalyl acetate,Heart,3,Flower,Herbaceous; Sweet; Floral,Heart; Crown,Blue,Air; Air,Lavender is a large evergreen shrub belonging to the Lamiaceae family originally from the Mediterranean area Cultivated mostly in France Spain and Italy reaches a height of 1 m with narrow linear leaves light green and blue-violet flowers gathered in beveled contours,"Relaxing; Harmonizing; Supports airways; Supports immunesystem; Purifying
",NA,NA,NA,Almost every essential oil,NA,/
Lavandin 'Super',NL Lavandin 'Super'; FR Lavandin 'Super'; DE Lavadin 'Super'; IT Lavadin 'Super'; CZ Lavandin super; PL Lawenda hybryda ,Lavandula x hybrida 'super',Lamiaceae,Spain,Plant,Steamdestillation,Linalol; Linalyl acetate; Camphor,Top,3,Flower,Herbaceous; Sweet; Floral,Heart; Crown,Blue,Air; Air,Lavender Hybrida is a large evergreen shrub belonging to the Lamiaceae family of the Mediterranean Cultivated mostly in France Spain and Italy reaches a height of 1 m with narrow linear leaves light green and blue-violet flowers gathered in beveled contours Lavender Hybrida is of lesser quality then the true lavander It is often called Lavandin,"Relaxing; Harmonizing; Supports airways; Supports immunesystem; Purifying
",NA,NA,NA,Almost every essential oil,NA,/
Lemon,NL Citroen; FR Citron; DE Zitrone; IT Limone; CZ Citron; PL Cytryna,Citrus limon,Rutaceae,Sicily,Peel,Cold pressing,Limonene,Top,3,Citrus,Fruity; Fresh; Citrus,Throat; Heart ,Green,Air,Lemon (Citrus Limon) is an evergreen plant belonging to the Rutaceae family from Eastern India Cultivated mostly in Italy often reaches a height of 6 m with woody bases at the base oval leafy teeth and very fragrant flowers,Harmonizing; Revitalise; Supports airways; ports immunesystem; Purifying,NA,NA,NA,Amyris; Tolu Balm; Roman Chamomile; Elemi; Sweet Fennel; Juniper; Frankincense; Lavender ; Peppermint; Monarda; Zirbelkiefer; Spicy; Citrus oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Lemongrass,NL Lemongrass; FR Lemongrass; DE Lemongras; IT Lemongrass; CZ Citronová tráva; PL Trawa cytrynowa,Cymbopogon flexuosus,Poaceae,India,Plant,Steamdestillation,Neral; Geranial,Top,3,Citrus,Fresh; Strong; Citrus,Solar Plexus,Yellow,Air; Fire,Lemongrass is a herbaceous plant belonging to the Poaceae family of Sri Lanka Cultivated mostly in Madagascar and Guatemala it reaches a height of 1 5 m with long green leaves and medium roots,Revitalise; Purifying,NA,NA,NA,Pine; Eucalyptus; Geranium; Lavender,NA,Use in moderationDo not use during pregnancy It can irritate the mucous membranes and cause skin irritations
Lime,NL Limoen; FR Limette; DE Limette; IT Limetta; CZ Limeta; PL Limetka,Citrus aurantifolia,Rutaceae,Mexico,Peel,Steamdestillation,Limonene; γ-terpinene; α-terpineol,Top,3,Citrus,Fruity,Solar Plexus; Heart,Green,Air; Earth,The Limetta (Citrus Aurantifolia) is an evergreen sapling belonging to the family of rutaceae originating in South Asia Cultivated for the most part in Mexico and South Florida reaches a 4 m height with woody bases at the base smooth oval leaves and small white flowers The fruit is light green about half the size of a lemon,Revitalise; Supports airways; Suppo immunesystem; Purifying,NA,NA,NA,Tea Tree; Amyris; Citronella; Lavender; Lavender Hybrid; Melissa; Neroli; Rosemary; Salvia; Citrus oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun!
Litsea,NL Litsea; FR Litsée; DE Litsea; IT Litsea; CZ Vavřín kubébový; PL Werbena egzotyczna;,Litsea cubeba,Lauraceae,China,Fruit,Steamdestillation,NA,Top,5,Citrus,Strong; Intense; Citrus,NA,NA,Air; Water,Litsea is a small tropical tree belonging to the Lauraceae family of Eastern Asia Cultivated mostly in China often reaches a height of 5 m with woody bases very fragrant yellow-white flowers and leaves,Harmonizing; Supports airways; Purifying,NA,NA,NA,Tea tree; Amyris; Bay; Benzoin; Cedar; Geranium; Lavender; Lavender Hybrid; Spicy oils; Citrus fruits,NA,/
Mandarin green,NL Groene Mandarijn; FR Mandarine verte; DE Mandarine; grün IT Mandarin; green CZ Mandarinka zelená; PL Zielona Mandarynka,Citrus reticulata groen,Rutaceae,Italy,Peel,Cold pressing,Limonene; γ-terpinene,Heart,4,Citrus,Fruity; Almost floral,Root; Solar Plexus,Orange,Air; Fire,The Mandarin (Citrus Reticulata) is an evergreen tree belonging to the Rutaceae family of China Cultivated for the most part in Italy and Spain reaches a height of 6 m with shiny leaves faded flowers and fleshy fruits,Relaxing; Supports airways; Supports immunesystem,NA,NA,NA,Neroli; Cinnamon; Clove; Nutmeg; Spicy; Citrus oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Mandarin red,NL Mandarijn; rood FR Mandarine; rouge DE Mandarine röt; IT Mandarino; CZ Mandarinka červená ;PL Czerwona Mandarynka,Citrus reticulata,Rutaceae,Spain,Peel,Cold pressing,Limonene; γ-terpinene,Heart,3,Citrus,Delicate; Citrus,Root; Solar Plexus,Orange,Air; Fire,The Mandarin (Citrus Reticulata) is an evergreen tree belonging to the Rutaceae family of China Cultivated for the most part in Italy and Spain reaches a height of 6 m with shiny leaves faded flowers and fleshy fruits,Relaxing; Supports airways; Supports immunesystem,NA,NA,NA,Tea Tree; Amyris; Tolu Balm; Benzoin; Roman Chamomile; Frankincense; Mint; Black Pepper; Spicy; Citrus oil,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Mandarin yellow,NL Gele mandarijn; FR Mandarin jaune; DE Mandarine; gelb IT Mandarino giallo; CZ Mandarinka; žlutá PL Mandarynka; żółta,Citrus reticulata var Yellow,Rutaceae,Italy,Peel,Cold pressing,Limonene; γ-terpinene,Heart,4,Citrus,Fruity; Almost floral,Root; Solar Plexus,Orange,Air; Fire,The Mandarin (Citrus Reticulata) is an evergreen tree belonging to the Rutaceae family of China Cultivated for the most part in Italy and Spain reaches a height of 6 m with shiny leaves faded flowers and fleshy fruits,Relaxing; Supports airways; Supports immunesystem,NA,NA,NA,Neroli; Cinnamon; Clove; Nutmeg; Spicy; Citrus oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Marjoram,NL Marjolein; FR Marjoleine à cocquilles; DE Majoran; IT Maggiorana; CZ Majoránka zahradní; PL Majeranek;,Majorana hortensis M,Lamiaceae,Eygpt,Plant,Steamdestillation,NA,Heart,4,Herbal,Intense; Sweet,Heart; Solar Plexus,Green,Fire; Air,The Maggioran is a bushy herb plant belonging to the Lamiaceae family originally from the Mediterranean area Cultivated for the most part in France Tunisia and Morocco it often reaches a height of 60 cm with a tomato stem oval leaves of dark green color and small white-yellow flowers,Relaxing; Supports airways; Purifying,NA,NA,NA,Bergamot; Camphor; Cedar; Cypress; Eucalyptus globulus; Eucalyptus Citriodora; Lavender; Hybrid Lavender; Rosemary; Citrus oils,NA,It is preferable to avoid using it during pregnancy
Martitime pine ,NL Zeeden; FR Pin maritime; DE Maritime Kiefer; IT Pino marittimo; CZ Borovice přímořská; PL Borovice přímořská,Pinus pinaster,Pinaceae,Portugal,Resin,Steamdestillation,Pinenes,Top,3,Woody:Conifer,Fresh; Balsamic; Resinous,NA,NA,NA,Maritime pine is an evergreen tree belonging to the Pinaceae family originating in the Mediterranean area and the coastal areas of the center of Europe Grows spontaneously in Italy Spain and mostly in Portugal reaches a height of 30 m with bark between gray and red-dark very long (20-25 cm) needle leafs light green and very large cones,Revitalise; Supports airways; Purifying,NA,NA,NA,Tea tree; Amyris; Elemi; Juniper; Lavender; Hybrid Lavender; Mint; Ravintsara; Rosemary; Vetiver; Ylang-Ylang; Spicy oils; Citrus fruits,NA,Use with moderation; High doses can lead to sensitization phenomena
Mountain pine ,NL Bergden; FR Pin de montagne; DE Latschenkiefer; IT Pino mugo; CZ Borovice kleč; PL Kosodrzewina ,Pinus mugo,Pinaceae,Italy,Needles,Steamdestillation,NA,Top,4,Woody:Conifer,Woody; Spicy; Balsamic; Fresh,Heart,Green; Orange,Fire; Air,The Mountainpine is a shrubbery tree belonging to the Pinaceae family originating in the European mountain regions Cultured for the most part in Italy and Austria reaches a height of 12 m with black bark rigid needles and hooks harvested in clusters,Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Tea tree; Amyris; Elemi; Juniper; Lavender; Hybrid Lavender; Mint; Ravintsara; Rosemary; Vetiver; Ylang-Ylang; Spicy oils; Citrus fruits,NA,Do not ingest and do not use pure on the skin; Causing skin irritation
Myrrh,NL Mirre; FR Myrrhe; DE Myrrhe; IT Mirra;CZ Myrha; PL Myrhovník pravý,Commiphora myrrha,Burseraseae,Somalia,Resin,Steamdestillation,Curzerene; Furanocudesmaoliene,Base,4,Resinous,Bitter; Sweet; Spicy,Heart,Red; Pink,Earth; Air,The Mirra is a gum extracted from a very thorny tree belonging to the family of the Burseraceae native to southern Saudi Arabia It grows mostly in Sudan Yemen and Somalia often reaches a height of 5 m with one or more trunks that branched to a short height from the soil from which the resin is extracted through the small nodules that are formed on the bark at the end summer The leaves are composed small in dark green color arranged in small groups The flowers are white-yellow,Relaxing; Purifying,NA,NA,NA,Benzoin; Cajeput; Camphor; Cinnamon; Cedar; Patchouli; Black Pepper; Sage; Vetiver; Citrus oils,NA,Use in moderation It is preferable to avoid using it during pregnancy
Niaouli CT cineol ,NL Niaouli CT cineol; FR Niaouli CT cineol; DE Niaouli CT cineol; IT Niaouli CT cineol; CZ Niaouli CT cineol; PL Niaouli ,Melaleuca viridiflora,Myrtaceae,madagascar,Leaf,Steamdestillation,1;8 cineole; Viridiflorol,Heart,3,Herbal:Medicenal,Herbaceous; Sweet; Medicinal,Heart; Throat,Green; Roses,Earth; Fire,The Niaouli is an evergreen tree belonging to the family of the Myrtaceae native of New Caledonia Cultured for the most part in Madagascar and Australia often reaches a height of 20 m has a flexible bark with light bark yellow flowers harvested in ears and linear oval leaves that burst out emanating a strong balsamic perfume,Revitalise; Supports airways; Purifying,NA,NA,NA,Roman Camomile; Coriander; Geranium; Lavender; Hybrid Lavender; Rose; Sage; Spicy; Citrus oils,NA,NA
Nutmeg,NL Muskaatnoot; FR Noix de muscade; DE Muskatnuss; IT Noce moscata; CZ Muškátový oříšek; PL Gałka muszkatołowa,Myristica fragrans,Myrtaceae,Vietnam,Fruit,Steamdestillation,Pinene; Myristicin,Heart,4,Spicy,Aromatic; Spicy,Solar Plexus; Sacral; Heart,Yellow,Earth; Fire,Myristica fragrans is an evergreen tree originating in the Moluccas Islands in Indonesia and New Guinea which can reach a height of about 20 meters The first crop of nutmeg is obtained after about 9 years from the plant The fruit of the plant is green maturing becomes yellow Inside there is a kind of red net called macis which has a very shiny brown seed nutmeg,Revitalise,NA,NA,NA,Ylang-ylang; Lavender; Sage; Bergamot; Clove,NA,/
Orangeflower co-dist ,NL Oranjebloesem co-dist; FR Néroli co distille; DE Orangenblüte co-dist; IT Fiore d'Arancio co-dist; CZ Hořký pomeranč; PL Kwiat pomarańczy,Citrus aurantium,Rutaceae,Morocco,Flower & Twigs ,Steamdestillation,Linalol; Trans nerolidol,Heart,4,Flower,Warm; Sweet; Heavy; Floral,Sacral; Heart; Crown ,Green,Air; Fire,The bitter range tree is an evergreen tree belonging to the Rutaceae family of China Cultivated mostly in Italy and Spain reaches a height of 10-12 m with woody bases at the base small green-dark leaves and clear whitish flowers The fruits are smaller and darker than those of the sweet orange,Relaxing; Harmonizing,NA,NA,NA,Anise; Star Anise; Cinnamon; Cloves; Lavender True; Hybrid Lavender; Myrrh; Oak Moss; Vanilla; most of the existing oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Orangeflower pure ,NL Oranjebloesem; FR Néroli; DE Orangenblüte; IT Fiore d'Arancio; CZ Hořký pomeranč; PL Kwiat pomarańczy ,Citrus aurantium,Rutaceae,Morocco,Flower,Steamdestillation,Linalol; Trans nerolidol,Heart,5,Flower,Warm; Sweet; Heavy; Floral; Woody,Sacral; Heart; Crown ,Green,Air; Fire,The bitter range tree is an evergreen tree belonging to the Rutaceae family of China Cultivated mostly in Italy and Spain reaches a height of 10-12 m with woody bases at the base small green-dark leaves and clear whitish flowers The fruits are smaller and darker than those of the sweet orange,Relaxing; Harmonizing,NA,NA,NA,Anise; Star Anise; Cinnamon; Cloves; Lavender True; Hybrid Lavender; Myrrh; Oak Moss; Vanilla; most of the existing oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Oregano,NL Oregano; FR Origan; DE Oregano; IT Oregano; CZ Oregano; Dobromysl obecná; PL Oregano,Origanum compactum,Labiateae,Albania,Plant,Steamdestillation,Carvacrol; γ-terpinene,Heart,5,Herbal,Intense; Spicy,Solar Plexus,Green,Earth; Fire,Origano is a perennial herb plant belonging to the family of Lamiaceae originating in Europe and Asia Cultivated for the most part in Spain and Italy it often reaches 90 cm high with woody bushes at the base side opposite sides green on both sides and purple flowers,Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Camphor; Cedar; Citronella; Eucalyptus; Lemon; Pine; Rosemary; Citrus oils,NA,DOSE VERY LOW! It contains high doses of toxic phenols that can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during pregnancy
Palmarosa,NL Palmarosa; FR Palmarose; DE Palmarosa; IT Palmarosa; CZ Voňatka Martinova; Palmorůžová; PL Palczatka imbirowa,Cymbopogon martinii; Roxh,Poaceae,madagascar,Plant,Steamdestillation,Geraniol; Geranyl acetate,Heart,5,Flower,Warm; Floral,Hart Solar Plexus,Yellow; Green,Air; Fire,Palmarosa is a wild herb plant belonging to the family of the Pocaceae originating in India and Pakistan Cultivated for the most part in India reaches a height of 1-2 m with long thin boughs ending in floral and fragrant summits,Relaxing; Supports airways; Purifying,NA,NA,NA,Tea Tree; Amyris; Sweet Fennel; Geranium; Lavender; Hybrid Lavender; Ho; Melissa; Myrrh; Spicy; Citrus oils,NA,/
Patchoeli,NL Patchoeli; FR Patchouli; DE Patchouli; IT Patchouli; CZ Pačuli; PL Paczulka wonna;,Pogostemon cablin,Lamiaceae,Indonesia,Leaf,Steamdestillation,NA,Base,4,Resinous,Intense and persistent; Earthy; Sweet; Spicy,Heart; Crown ,Orange,"
Earth; Water",Patchouli is a bushy herb plant belonging to the Lamiaceae family of origin in tropical Asia Cultivated for the most part in Indonesia reaches a height of 1 m with sturdy and wild stem great tantalizing and fragrant cravings and white flowers with purple shades,Harmonizing,NA,NA,NA,Tea tree; Benzoin; Bergamot; Cinnamon; Cedar; Frankincense; Ravintsara; Vetiver; Ylang-Ylang; Spicy oils; Citrus fruits,NA,/
Peppermint,NL Pepermunt; FR Menthe poivré; DE Pfefferminze; IT Menta piperita; CZ Máta peprná; PL Mięta pieprzowa,Mentha x piperita,Lamiaceae,India,Plant,Steamdestillation,Menthol; Menthone,Top,4,Herbal:mint,Fresh; Strong; Menthol,Root; Throat; Solar Plexus,Green; Violet,Air; Fire,Peppermint is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia Cultured for the most part in Europe reaches a maximum height of 1 m with erect stems and rizomatose roots that expand dramatically in the soil White Piperite Mint has green leaves and stems while the black has dark green leaves purple stems and reddish-purple flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Tea tree; Benzoin; Citronella; Juniper; Lavender; Hybrid Lavender; Majoram; Pine; Rosemary; Spicy; Citrus Oils,NA,Use with moderation and avoid pure use on extended areas It can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during homeopathic treatment Can cause cool-shock!
Petitgrain mandarine ,NL Petitgrain; FR Petitgrain; DE Petitgrain; IT Petit grain; CZ Petitgrain; mandarinka obecná; list PL Petitgrain; Mandarinka,Citrus reticulata Blanco,Rutaceae,Eygpt,Leaf,Steamdestillation,N-methyl; Methyl anthranilate; γ-terpinene,Heart,3,Citrus,Citrus; Woody,Root; Solar Plexus,Orange,Air; Fire,The Mandarin (Citrus Reticulata) is an evergreen tree belonging to the Rutaceae family of China Cultivated for the most part in Italy and Spain reaches a height of 6 m with shiny leaves faded flowers and fleshy fruits,Relaxing; Supports airways,NA,NA,NA,Tea tree; Cedar; Eucalyptus; Juniper; Lavender; Hybrid Lavender; Maggioran; Niaouli; Rosemary; Salvia; spicy oils; Citrus fruits,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Petitgrain orange ,NL Petitgrain; sinaas FR Petitgrain orange; DE Petitgrain; orange IT Petit grain; arancio CZ Petitgrain; hořký pomerančovník PL Drzewo pomarańczowe (liść),Citrus aurantium var Amara,Rutaceae,Paraguay,Leaf,Steamdestillation,Linalol; Linalyl acetate,Heart,3,Citrus,Floral; With a herbaceous and woody underside,Sacral; Heart; Crown ,Green,Air; Fire,The Petitgrain orange is an oil obtained from the plant of bitter orange using only green and fresh leaves floral still gems and branches Plant belonging to the Rutaceae family originating in the Mediterranean area Cultivated for the most part in Italy and France often reaches a height of 5 m with woody bases at the base the leaves are dark green oval shiny with a pinkish margin The flowers are white and very fragrant The fruits when they grow from greens become yellow Contain many clusters rich in juice,Relaxing; Supports airways,NA,NA,NA,Tea tree; Cedar; Eucalyptus; Juniper; Lavender; Hybrid Lavender; Maggioran; Niaouli; Rosemary; Salvia; spicy oils; citrus fruits,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Ravintsara ,NL Ravintsara; FR Ravintsara; DE Ravintsara; IT Ravintsara; CZ Směs kafru a eukalyptu; PL Ravintsara,Cinnamomum camphora cineol,Lauraceae,madagascar,Leaf,Steamdestillation,Sabinene; 1;8 cineole; α-terpineol,Top,3,Herbal:medicenal,Herbal; Eucalyptus-alike,Solar Plexus; Heart,Yellow,Fire; Air,Cinnamomum camphora is an evergreen plant belonging to the Lauraceae family of Eastern Asia It grows mostly in China Japan and Taiwan often reaches a height of 40 m with rather thin base from which the camphor is extracted by steam stream and then refined through the sublimation process The leaves are lanceolate groovy thick and persistent with White flowers and black drupa fruit The Cinnamomum camphora has 2 chemotypes: linalol and cineol Ho wood and ho leaf are from the wood and leaves of the linalol chemotype Ravintsara is from the leaf and camphor from the bark of the cineol chemotype,Revitalise; Supports airways; Purifying,NA,NA,NA,Bergamot; Cloves; Cisto; Juniper; Lavender; Hybrid Lavender; Litsea; Pippermint; Zirbelkiefer; spicy oils; citrus fruits,NA,Use with moderation; high doses may become toxic
Rhodondendron,NL Rhodondendron; FR Rhodondendron; DE Rhodondendron; IT Rhodondendron; CZ Rhodondendron; PL Rhodondendron;,Rhododendron anthopogon,Lamiaceae,Nepal,Flower,Steamdestillation, NA,Heart/top,,Flower,Fresh; Delicate; Floral,NA,NA,NA,Rhododendron is a perennial herbaceous shrub belonging to the Ericaceae family of North America and Central Europe It grows spontaneously for the most part in China India Pakistan the Alps and Nepal where the biggest concentrations are It is present in many mountain ranges between 1800 m and 4000 m altitude He often reaches a height of about 50 cm thin-barrels dark green leaves and very fragrant purple-rosace flowers,Relaxing; Supports airways; Supports immunesystem,NA,NA,NA,Fir; Spruce; Roman Camomile; Cypress; Sweet Fennel; Jasmine; Sage; Amyris; Ylang-Ylang; Citrus oils,NA,It is preferable to avoid using it during pregnancy
Myrtle ,NL Mirte; FR Mirte; DE Myrte; IT Mirto; CZ Myrta obecná; PL Myrta,Myrtus communis,Myrtaceae,Morocco,Leaf,Steamdestillation,NA,Top,3,Herbal,NA,NA,NA,NA,,Harmonizing; Revitalise; Supports airways; Purifying,NA,NA,NA,,NA,NA
